Symbol	Description	Chromosome	Aliases
SEPHS1	selenophosphate synthetase 1	10	SELD, SPS, SPS1
SEPT1	septin 1	16	DIFF6, LARP, PNUTL3, SEP1
SEPT2	septin 2	2	DIFF6, NEDD-5, NEDD5, Pnutl3, hNedd5
SEPT4	septin 4	17	ARTS, BRADEION, CE5B3, H5, MART, PNUTL2, SEP4, hCDCREL-2, hucep-7
SEPT4-AS1	SEPT4 antisense RNA 1	17	
SEPT6	septin 6	X	SEP2, SEPT2
SEPT9	septin 9	17	AF17q25, MSF, MSF1, NAPB, PNUTL4, SINT1, SeptD1
SERBP1	SERPINE1 mRNA binding protein 1	1	CGI-55, CHD3IP, HABP4L, PAI-RBP1, PAIRBP1
SERF2	small EDRK-rich factor 2	15	4F5REL, FAM2C, H4F5REL, HsT17089
SERP1	stress associated endoplasmic reticulum protein 1	3	RAMP4
SERPINA1	serpin family A member 1	14	A1A, A1AT, AAT, PI, PI1, PRO2275, alpha1AT, nNIF
SERPINA10	serpin family A member 10	14	PZI, ZPI
SERPINA12	serpin family A member 12	14	OL-64
SERPINA3	serpin family A member 3	14	AACT, ACT, GIG24, GIG25
SERPINA4	serpin family A member 4	14	KAL, KLST, KST, PI-4, PI4, kallistatin
SERPINA5	serpin family A member 5	14	PAI-3, PAI3, PCI, PCI-B, PLANH3, PROCI
SERPINA6	serpin family A member 6	14	CBG
SERPINB10	serpin family B member 10	18	PI-10, PI10
SERPINB13	serpin family B member 13	18	HSHUR7SEQ, HUR7, PI13, headpin
SERPINB2	serpin family B member 2	18	HsT1201, PAI, PAI-2, PAI2, PLANH2
SERPINB3	serpin family B member 3	18	HsT1196, SCC, SCCA-1, SCCA-PD, SCCA1, SSCA1, T4-A
SERPINB4	serpin family B member 4	18	LEUPIN, PI11, SCCA-2, SCCA1, SCCA2
SERPINB5	serpin family B member 5	18	PI5, maspin
SERPINB6	serpin family B member 6	6	CAP, DFNB91, MSTP057, PI-6, PI6, PTI, SPI3
SERPINB9	serpin family B member 9	6	CAP-3, CAP3, PI-9, PI9
SERPINC1	serpin family C member 1	1	AT3, AT3D, ATIII, THPH7
SERPIND1	serpin family D member 1	22	D22S673, HC2, HCF2, HCII, HLS2, LS2, THPH10
SERPINE1	serpin family E member 1	7	PAI, PAI-1, PAI1, PLANH1
SERPINE2	serpin family E member 2	2	GDN, GDNPF, PI-7, PI7, PN-1, PN1, PNI
SERPINF1	serpin family F member 1	17	EPC-1, OI12, OI6, PEDF, PIG35
SERPINF2	serpin family F member 2	17	A2AP, AAP, ALPHA-2-PI, API, PLI
SERPING1	serpin family G member 1	11	C1IN, C1INH, C1NH, HAE1, HAE2
SERPINH1	serpin family H member 1	11	AsTP3, CBP1, CBP2, HSP47, OI10, PIG14, PPROM, RA-A47, SERPINH2, gp46
SERPINI1	serpin family I member 1	3	PI12, neuroserpin
SERTAD1	SERTA domain containing 1	19	SEI1, TRIP-Br1
SERTAD2	SERTA domain containing 2	2	Sei-2, TRIP-Br2
SERTAD3	SERTA domain containing 3	19	RBT1
SESN1	sestrin 1	6	PA26, SEST1
SESN2	sestrin 2	1	HI95, SES2, SEST2
SET	SET nuclear proto-oncogene	9	2PP2A, I2PP2A, IGAAD, IPP2A2, PHAPII, TAF-I, TAF-IBETA
SETD1A	SET domain containing 1A	16	KMT2F, Set1, Set1A
SETD1B	SET domain containing 1B	12	KMT2G, Set1B
SETD2	SET domain containing 2	3	HBP231, HIF-1, HIP-1, HSPC069, HYPB, KMT3A, LLS, SET2, p231HBP
SETD6	SET domain containing 6	16	
SETD7	SET domain containing lysine methyltransferase 7	4	KMT7, SET7, SET7/9, SET9
SETDB1	SET domain bifurcated 1	1	ESET, H3-K9-HMTase4, KG1T, KMT1E, TDRD21
SETMAR	SET domain and mariner transposase fusion gene	3	METNASE, Mar1
SEZ6L	seizure related 6 homolog like	22	
SEZ6L2	seizure related 6 homolog like 2	16	BSRPA, PSK-1
SF3A1	splicing factor 3a subunit 1	22	PRP21, PRPF21, SAP11420, SF3A1
SF3B1	splicing factor 3b subunit 1	2	Hsh155, MDS, PRP10, PRPF10, SAP155, SF3b155
SF3B3	splicing factor 3b subunit 3	16	RSE1, SAP130, SF3b130, STAF130
SFMBT2	Scm like with four mbt domains 2	10	
SFN	stratifin	1	YWHAS
SFPQ	splicing factor proline and glutamine rich	1	POMP100, PPP1R140, PSF
SFR1	SWI5 dependent homologous recombination repair protein 1	10	C10orf78, MEI5, MEIR5, bA373N18.1
SFRP1	secreted frizzled related protein 1	8	FRP, FRP-1, FRP1, FrzA, SARP2
SFRP2	secreted frizzled related protein 2	4	FRP-2, SARP1, SDF-5
SFRP4	secreted frizzled related protein 4	7	FRP-4, FRPHE, FRZB-2, PYL, sFRP-4
SFRP5	secreted frizzled related protein 5	10	SARP3
SFTPA1	surfactant protein A1	10	COLEC4, PSAP, PSP-A, PSPA, SFTP1B, SP-A, SP-A1, SPA, SPA1, SFTPA1
SFTPA2	surfactant protein A2	10	COLEC5, PSAP, PSP-A, PSPA, SFTP1B, SP-2A, SP-A, SPA2, SPAII, SFTPA2
SFTPB	surfactant protein B	2	PSP-B, SFTB3, SFTP3, SMDP1, SP-B
SFTPC	surfactant protein C	8	BRICD6, PSP-C, SFTP2, SMDP2, SP-C
SFTPD	surfactant protein D	10	COLEC7, PSP-D, SFTP4, SP-D
SFXN2	sideroflexin 2	10	SLC56A2
SFXN4	sideroflexin 4	10	BCRM1, COXPD18, SLC56A4
SGK1	serum/glucocorticoid regulated kinase 1	6	SGK
SGK3	serum/glucocorticoid regulated kinase family member 3	8	CISK, SGK2, SGKL
SGO1	shugoshin 1	3	CAID, NY-BR-85, SGO, SGOL1
SGPL1	sphingosine-1-phosphate lyase 1	10	NPHS14, S1PL, SPL
SGPP1	sphingosine-1-phosphate phosphatase 1	14	SPPase1
SGSM3	small G protein signaling modulator 3	22	CIP85, MAP, RABGAP5, RUSC3, RUTBC3, RabGAP-5, rabGAPLP
SGTA	small glutamine rich tetratricopeptide repeat containing alpha	19	SGT, alphaSGT, hSGT
SH2B1	SH2B adaptor protein 1	16	PSM, SH2B
SH2B3	SH2B adaptor protein 3	12	IDDM20, LNK
SH2D3A	SH2 domain containing 3A	19	NSP1
SH2D3C	SH2 domain containing 3C	9	CHAT, NSP3, PRO34088, SHEP1
SH3BGRL	SH3 domain binding glutamate rich protein like	X	HEL-S-115, SH3BGR
SH3BGRL3	SH3 domain binding glutamate rich protein like 3	1	HEL-S-297, SH3BP-1, TIP-B1
SH3BP1	SH3 domain binding protein 1	22	ARHGAP43
SH3GL1	SH3 domain containing GRB2 like 1, endophilin A2	19	CNSA1, EEN, SH3D2B, SH3P8
SH3GL2	SH3 domain containing GRB2 like 2, endophilin A1	9	CNSA2, EEN-B1, SH3D2A, SH3P4
SH3GL3	SH3 domain containing GRB2 like 3, endophilin A3	15	CNSA3, EEN-B2, HsT19371, SH3D2C, SH3P13
SH3GLB1	SH3 domain containing GRB2 like, endophilin B1	1	Bif-1, CGI-61, PPP1R70, dJ612B15.2
SH3KBP1	SH3 domain containing kinase binding protein 1	X	CD2BP3, CIN85, GIG10, HSB-1, HSB1, MIG18
SH3PXD2A	SH3 and PX domains 2A	10	FISH, SH3MD1, TKS5
SH3RF1	SH3 domain containing ring finger 1	4	POSH, RNF142, SH3MD2
SHARPIN	SHANK associated RH domain interactor	8	SIPL1
SHBG	sex hormone binding globulin	17	ABP, SBP, TEBG
SHC1	SHC adaptor protein 1	1	SHC, SHCA
SHC3	SHC adaptor protein 3	9	N-Shc, NSHC, RAI, SHCC
SHCBP1	SHC binding and spindle associated 1	16	PAL
SHCBP1L	SHC binding and spindle associated 1 like	1	C1orf14, GE36
SHH	sonic hedgehog	7	HHG1, HLP3, HPE3, MCOPCB5, SMMCI, ShhNC, TPT, TPTPS
SHISA3	shisa family member 3	4	hShisa3
SHMT1	serine hydroxymethyltransferase 1	17	CSHMT, SHMT
SHMT2	serine hydroxymethyltransferase 2	12	GLYA, HEL-S-51e, SHMT
SHOC2	SHOC2, leucine rich repeat scaffold protein	10	SIAA0862, SOC2, SUR8
SHOX2	short stature homeobox 2	3	OG12, OG12X, SHOT
SHQ1	SHQ1, H/ACA ribonucleoprotein assembly factor	3	GRIM-1, Shq1p
SHROOM2	shroom family member 2	X	APXL, HSAPXL
SIAH1	siah E3 ubiquitin protein ligase 1	16	SIAH1A
SIAH2	siah E3 ubiquitin protein ligase 2	3	hSiah2
SIDT1	SID1 transmembrane family member 1	3	SID-1, SID1
SIGIRR	single Ig and TIR domain containing	11	IL-1R8, TIR8
SIGLEC1	sialic acid binding Ig like lectin 1	20	CD169, SIGLEC-1, SN, dJ1009E24.1
SIGLEC8	sialic acid binding Ig like lectin 8	19	SAF2, SIGLEC-8L, SIGLEC8
SIGLEC9	sialic acid binding Ig like lectin 9	19	CD329, CDw329, FOAP-9, OBBP-LIKE, siglec-9
SIGMAR1	sigma non-opioid intracellular receptor 1	9	ALS16, DSMA2, OPRS1, SIG-1R, SR-BP, SR-BP1, SRBP, hSigmaR1, sigma1R
SIK1	salt inducible kinase 1	21	MSK, SIK, SIK-1, SNF1LK
SIK2	salt inducible kinase 2	11	LOH11CR1I, QIK, SIK-2, SNF1LK2
SIK3	SIK family kinase 3	11	L19, QSK, SIK-3
SIM2	single-minded family bHLH transcription factor 2	21	HMC13F06, HMC29C01, SIM, bHLHe15
SIN3A	SIN3 transcription regulator family member A	15	WITKOS
SIN3B	SIN3 transcription regulator family member B	19	
SIPA1	signal-induced proliferation-associated 1	11	SPA1
SIRPA	signal regulatory protein alpha	20	BIT, CD172A, MFR, MYD-1, P84, PTPNS1, SHPS1, SIRP
SIRT1	sirtuin 1	10	SIR2, SIR2L1, SIR2alpha
SIRT2	sirtuin 2	19	SIR2, SIR2L, SIR2L2
SIRT3	sirtuin 3	11	SIR2L3
SIRT4	sirtuin 4	12	SIR2L4
SIRT5	sirtuin 5	6	SIR2L5
SIRT6	sirtuin 6	19	SIR2L6
SIRT7	sirtuin 7	17	SIR2L7
SIVA1	SIVA1 apoptosis inducing factor	14	CD27BP, SIVA, Siva-1, Siva-2
SIX1	SIX homeobox 1	14	BOS3, DFNA23, TIP39
SIX2	SIX homeobox 2	2	
SIX3	SIX homeobox 3	2	HPE2
SKA1	spindle and kinetochore associated complex subunit 1	18	C18orf24
SKA2	spindle and kinetochore associated complex subunit 2	17	FAM33A
SKA3	spindle and kinetochore associated complex subunit 3	13	C13orf3, RAMA1
SKAP1	src kinase associated phosphoprotein 1	17	HEL-S-81p, SCAP1, SKAP55
SKAP2	src kinase associated phosphoprotein 2	7	PRAP, RA70, SAPS, SCAP2, SKAP-HOM, SKAP55R
SKI	SKI proto-oncogene	1	SGS, SKV
SKIDA1	SKI/DACH domain containing 1	10	C10orf140, DLN-1
SKIL	SKI like proto-oncogene	3	SNO, SnoA, SnoI, SnoN
SKIV2L	Ski2 like RNA helicase	6	170A, DDX13, HLP, SKI2, SKI2W, SKIV21, THES2, SKIV2L
SKP1	S-phase kinase associated protein 1	5	EMC19, OCP-II, OCP2A, TCEB1L, p19A, SKP1
SKP2	S-phase kinase associated protein 2	5	FBL1, FBXL1, FLB1, p45
SLBP	stem-loop binding protein	4	HBP
SLC10A2	solute carrier family 10 member 2	13	ASBT, IBAT, ISBT, NTCP2, PBAM
SLC10A5	solute carrier family 10 member 5	8	P5
SLC11A1	solute carrier family 11 member 1	2	LSH, NRAMP, NRAMP1
SLC11A2	solute carrier family 11 member 2	12	AHMIO1, DCT1, DMT1, NRAMP2
SLC12A4	solute carrier family 12 member 4	16	CTC-479C5.17, KCC1, hKCC1
SLC12A5	solute carrier family 12 member 5	20	EIEE34, EIG14, KCC2, hKCC2
SLC12A6	solute carrier family 12 member 6	15	ACCPN, KCC3, KCC3A, KCC3B
SLC12A7	solute carrier family 12 member 7	5	KCC4
SLC14A1	solute carrier family 14 member 1 (Kidd blood group)	18	HUT11, HsT1341, JK, RACH1, RACH2, UT-B1, UT1, UTE
SLC14A2	solute carrier family 14 member 2	18	HUT2, UT-A2, UT2, UTA, UTR, hUT-A6
SLC15A1	solute carrier family 15 member 1	13	HPECT1, HPEPT1, PEPT1
SLC16A1	solute carrier family 16 member 1	1	HHF7, MCT, MCT1, MCT1D
SLC16A10	solute carrier family 16 member 10	6	MCT10, PRO0813, TAT1
SLC16A4	solute carrier family 16 member 4	1	MCT4, MCT5
SLC16A5	solute carrier family 16 member 5	17	MCT5, MCT6
SLC16A6	solute carrier family 16 member 6	17	MCT6, MCT7
SLC16A7	solute carrier family 16 member 7	12	MCT2
SLC18A2	solute carrier family 18 member A2	10	SVAT, SVMT, VAT2, VMAT2
SLC19A1	solute carrier family 19 member 1	21	CHMD, FOLT, IFC1, REFC, RFC1
SLC19A2	solute carrier family 19 member 2	1	TC1, THMD1, THT1, THTR1, TRMA
SLC19A3	solute carrier family 19 member 3	2	BBGD, THMD2, THTR2
SLC1A1	solute carrier family 1 member 1	9	DCBXA, EAAC1, EAAT3, SCZD18
SLC1A5	solute carrier family 1 member 5	19	AAAT, ASCT2, ATBO, M7V1, M7VS1, R16, RDRC
SLC22A1	solute carrier family 22 member 1	6	HOCT1, OCT1, oct1_cds
SLC22A16	solute carrier family 22 member 16	6	CT2, FLIPT2, HEL-S-18, OAT6, OCT6, OKB1, dJ261K5.1
SLC22A18	solute carrier family 22 member 18	11	BWR1A, BWSCR1A, HET, IMPT1, ITM, ORCTL2, SLC22A1L, TSSC5, p45-BWR1A
SLC22A2	solute carrier family 22 member 2	6	OCT2
SLC22A3	solute carrier family 22 member 3	6	EMT, EMTH, OCT3
SLC22A4	solute carrier family 22 member 4	5	DFNB60, OCTN1
SLC22A5	solute carrier family 22 member 5	5	CDSP, OCTN2
SLC23A1	solute carrier family 23 member 1	5	SLC23A2, SVCT1, YSPL3
SLC23A2	solute carrier family 23 member 2	20	NBTL1, SLC23A1, SVCT2, YSPL2
SLC24A4	solute carrier family 24 member 4	14	AI2A5, NCKX4, SHEP6, SLC24A2
SLC25A12	solute carrier family 25 member 12	2	AGC1, ARALAR, EIEE39
SLC25A19	solute carrier family 25 member 19	17	DNC, MCPHA, MUP1, THMD3, THMD4, TPC
SLC25A21	solute carrier family 25 member 21	14	ODC, ODC1
SLC25A22	solute carrier family 25 member 22	11	EIEE3, GC-1, GC1, NET44
SLC25A25-AS1	SLC25A25 antisense RNA 1	9	
SLC25A28	solute carrier family 25 member 28	10	MFRN2, MRS3/4, MRS4L, NPD016
SLC25A43	solute carrier family 25 member 43	X	
SLC25A44	solute carrier family 25 member 44	1	
SLC25A5	solute carrier family 25 member 5	X	2F1, AAC2, ANT2, T2, T3
SLC25A6	solute carrier family 25 member 6	X	AAC3, ANT, ANT 2, ANT 3, ANT3, ANT3Y
SLC25A6	solute carrier family 25 member 6	Y	AAC3, ANT, ANT 2, ANT 3, ANT3, ANT3Y
SLC26A1	solute carrier family 26 member 1	4	CAON, EDM4, SAT-1, SAT1
SLC26A2	solute carrier family 26 member 2	5	D5S1708, DTD, DTDST, EDM4, MST153, MSTP157
SLC27A4	solute carrier family 27 member 4	9	ACSVL4, FATP4, IPS
SLC28A1	solute carrier family 28 member 1	15	CNT1, HCNT1
SLC28A3	solute carrier family 28 member 3	9	CNT3
SLC29A1	solute carrier family 29 member 1 (Augustine blood group)	6	ENT1
SLC29A2	solute carrier family 29 member 2	11	DER12, ENT2, HNP36
SLC29A3	solute carrier family 29 member 3	10	ENT3, HCLAP, HJCD, PHID
SLC2A1	solute carrier family 2 member 1	1	CSE, DYT17, DYT18, DYT9, EIG12, GLUT, GLUT-1, GLUT1, GLUT1DS, HTLVR, PED, SDCHCN
SLC2A11	solute carrier family 2 member 11	22	GLUT10, GLUT11
SLC2A13	solute carrier family 2 member 13	12	HMIT
SLC2A2	solute carrier family 2 member 2	3	GLUT2
SLC2A3	solute carrier family 2 member 3	12	GLUT3
SLC2A4	solute carrier family 2 member 4	17	GLUT4
SLC2A4RG	SLC2A4 regulator	20	GEF, HDBP-1, HDBP1, Si-1-2, Si-1-2-19
SLC2A8	solute carrier family 2 member 8	9	GLUT8, GLUTX1
SLC2A9	solute carrier family 2 member 9	4	GLUT9, GLUTX, UAQTL2, URATv1
SLC30A1	solute carrier family 30 member 1	1	ZNT1, ZRC1
SLC30A4	solute carrier family 30 member 4	15	ZNT4, znT-4
SLC31A1	solute carrier family 31 member 1	9	COPT1, CTR1
SLC31A2	solute carrier family 31 member 2	9	COPT2, CTR2, hCTR2
SLC34A2	solute carrier family 34 member 2	4	NAPI-3B, NAPI-IIb, NPTIIb
SLC35B2	solute carrier family 35 member B2	6	PAPST1, SLL, UGTrel4
SLC35B3	solute carrier family 35 member B3	6	C6orf196, CGI-19, PAPST2
SLC35C1	solute carrier family 35 member C1	11	CDG2C, FUCT1
SLC35C2	solute carrier family 35 member C2	20	BA394O2.1, C20orf5, CGI-15, OVCOV1
SLC35D2	solute carrier family 35 member D2	9	HFRC1, SQV7L, UGTrel8, hfrc
SLC35E3	solute carrier family 35 member E3	12	BLOV1
SLC35F2	solute carrier family 35 member F2	11	HSNOV1
SLC35F6	solute carrier family 35 member F6	2	ANT2BP, C2orf18, TANGO9
SLC36A4	solute carrier family 36 member 4	11	PAT4
SLC38A1	solute carrier family 38 member 1	12	ATA1, NAT2, SAT1, SNAT1
SLC38A3	solute carrier family 38 member 3	3	G17, NAT1, SN1, SNAT3
SLC38A9	solute carrier family 38 member 9	5	URLC11
SLC39A1	solute carrier family 39 member 1	1	ZIP1, ZIRTL
SLC39A10	solute carrier family 39 member 10	2	LZT-Hs2
SLC39A11	solute carrier family 39 member 11	17	C17orf26, ZIP-11, ZIP11
SLC39A14	solute carrier family 39 member 14	8	HMNDYT2, LZT-Hs4, NET34, ZIP14, cig19
SLC39A2	solute carrier family 39 member 2	14	6A1, ETI-1, ZIP-2, ZIP2
SLC39A4	solute carrier family 39 member 4	8	AEZ, AWMS2, ZIP4
SLC39A5	solute carrier family 39 member 5	12	LZT-Hs7, MYP24, ZIP5
SLC39A6	solute carrier family 39 member 6	18	LIV-1, ZIP6
SLC39A7	solute carrier family 39 member 7	6	D6S115E, D6S2244E, H2-KE4, HKE4, KE4, RING5, ZIP7
SLC3A2	solute carrier family 3 member 2	11	4F2, 4F2HC, 4T2HC, CD98, CD98HC, MDU1, NACAE
SLC40A1	solute carrier family 40 member 1	2	FPN1, HFE4, IREG1, MST079, MSTP079, MTP1, SLC11A3
SLC41A1	solute carrier family 41 member 1	1	MgtE
SLC43A1	solute carrier family 43 member 1	11	LAT3, PB39, POV1, R00504
SLC45A1	solute carrier family 45 member 1	1	DNB5, IDDNPF
SLC45A3	solute carrier family 45 member 3	1	IPCA-2, IPCA-6, IPCA-8, IPCA6, PCANAP2, PCANAP6, PCANAP8, PRST
SLC46A1	solute carrier family 46 member 1	17	G21, HCP1, PCFT
SLC46A2	solute carrier family 46 member 2	9	Ly110, TSCOT
SLC46A3	solute carrier family 46 member 3	13	FKSG16
SLC47A1	solute carrier family 47 member 1	17	MATE1
SLC47A2	solute carrier family 47 member 2	17	MATE2, MATE2-B, MATE2-K, MATE2K
SLC48A1	solute carrier family 48 member 1	12	HRG-1, HRG1, hHRG-1
SLC4A1	solute carrier family 4 member 1 (Diego blood group)	17	AE1, BND3, CD233, CHC, DI, EMPB3, EPB3, FR, RTA1A, SAO, SPH4, SW, WD, WD1, WR
SLC4A11	solute carrier family 4 member 11	20	BTR1, CDPD1, CHED, CHED2, NABC1, dJ794I6.2
SLC4A1AP	solute carrier family 4 member 1 adaptor protein	2	HLC3
SLC4A2	solute carrier family 4 member 2	7	AE2, BND3L, EPB3L1, HKB3, NBND3
SLC4A7	solute carrier family 4 member 7	3	NBC2, NBC3, NBCN1, SBC2, SLC4A6
SLC50A1	solute carrier family 50 member 1	1	HsSWEET1, RAG1AP1, SCP, SWEET1, slv
SLC52A3	solute carrier family 52 member 3	20	BVVLS, BVVLS1, C20orf54, RFT2, RFVT3, bA371L19.1, hRFT2
SLC5A1	solute carrier family 5 member 1	22	D22S675, NAGT, SGLT1
SLC5A5	solute carrier family 5 member 5	19	NIS, TDH1
SLC5A6	solute carrier family 5 member 6	2	SMVT
SLC5A8	solute carrier family 5 member 8	12	AIT, SMCT, SMCT1
SLC6A18	solute carrier family 6 member 18	5	Xtrp2
SLC6A19	solute carrier family 6 member 19	5	B0AT1, HND
SLC6A2	solute carrier family 6 member 2	16	NAT1, NET, NET1, SLC6A5
SLC6A3	solute carrier family 6 member 3	5	DAT, DAT1, PKDYS
SLC6A4	solute carrier family 6 member 4	17	5-HTT, 5-HTTLPR, 5HTT, HTT, OCD1, SERT, SERT1, hSERT
SLC6A6	solute carrier family 6 member 6	3	TAUT
SLC7A1	solute carrier family 7 member 1	13	ATRC1, CAT-1, ERR, HCAT1, REC1L
SLC7A11	solute carrier family 7 member 11	4	CCBR1, xCT
SLC7A5	solute carrier family 7 member 5	16	4F2LC, CD98, D16S469E, E16, LAT1, MPE16
SLC7A6	solute carrier family 7 member 6	16	LAT-2, LAT3, y+LAT-2
SLC9A1	solute carrier family 9 member A1	1	APNH, LIKNS, NHE-1, NHE1, PPP1R143
SLC9A3R1	SLC9A3 regulator 1	17	EBP50, NHERF, NHERF-1, NHERF1, NPHLOP2
SLC9A3R2	SLC9A3 regulator 2	16	E3KARP, NHE3RF2, NHERF-2, NHERF2, OCTS2, SIP-1, SIP1, TKA-1
SLC9A9	solute carrier family 9 member A9	3	AUTS16, NHE9
SLCO1A2	solute carrier organic anion transporter family member 1A2	12	OATP, OATP-A, OATP1A2, SLC21A3
SLCO1B1	solute carrier organic anion transporter family member 1B1	12	HBLRR, LST-1, LST1, OATP-C, OATP1B1, OATP2, OATPC, SLC21A6
SLCO1B3	solute carrier organic anion transporter family member 1B3	12	HBLRR, LST-2, LST-3TM13, LST3, OATP-8, OATP1B3, OATP8, SLC21A8
SLCO2A1	solute carrier organic anion transporter family member 2A1	3	MATR1, OATP2A1, PGT, PHOAR2, SLC21A2
SLCO2B1	solute carrier organic anion transporter family member 2B1	11	OATP-B, OATP2B1, OATPB, SLC21A9
SLCO3A1	solute carrier organic anion transporter family member 3A1	15	OATP-D, OATP-RP3, OATP3A1, OATPD, OATPRP3, SLC21A11
SLCO4A1	solute carrier organic anion transporter family member 4A1	20	OATP-E, OATP1, OATP4A1, OATPE, OATPRP1, POAT, SLC21A12
SLCO5A1	solute carrier organic anion transporter family member 5A1	8	OATP-J, OATP-RP4, OATP5A1, OATPJ, OATPRP4, SLC21A15
SLCO6A1	solute carrier organic anion transporter family member 6A1	5	CT48, GST, OATP-I, OATP6A1, OATPY
SLF1	SMC5-SMC6 complex localization factor 1	5	ANKRD32, BRCTD1, BRCTx
SLFN11	schlafen family member 11	17	SLFN8/9
SLFN5	schlafen family member 5	17	
SLIT1	slit guidance ligand 1	10	MEGF4, SLIL1, SLIT-1, SLIT3
SLIT2	slit guidance ligand 2	4	SLIL3, Slit-2
SLIT3	slit guidance ligand 3	5	MEGF5, SLIL2, SLIT1, Slit-3, slit2
SLK	STE20 like kinase	10	LOSK, STK2, bA16H23.1, se20-9
SLPI	secretory leukocyte peptidase inhibitor	20	ALK1, ALP, BLPI, HUSI, HUSI-I, MPI, WAP4, WFDC4
SLURP1	secreted LY6/PLAUR domain containing 1	8	ANUP, ARS, ArsB, LY6LS, MDM
SLX4	SLX4 structure-specific endonuclease subunit	16	BTBD12, FANCP, MUS312
SMAD1	SMAD family member 1	4	BSP-1, BSP1, JV4-1, JV41, MADH1, MADR1
SMAD2	SMAD family member 2	18	JV18, JV18-1, MADH2, MADR2, hMAD-2, hSMAD2
SMAD3	SMAD family member 3	15	HSPC193, HsT17436, JV15-2, LDS1C, LDS3, MADH3
SMAD4	SMAD family member 4	18	DPC4, JIP, MADH4, MYHRS
SMAD5	SMAD family member 5	5	DWFC, JV5-1, MADH5
SMAD6	SMAD family member 6	15	AOVD2, HsT17432, MADH6, MADH7
SMAD7	SMAD family member 7	18	CRCS3, MADH7, MADH8
SMAD9	SMAD family member 9	13	MADH6, MADH9, PPH2, SMAD8, SMAD8/9, SMAD8A, SMAD8B
SMAP1	small ArfGAP 1	6	SMAP-1
SMARCA1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 1	X	ISWI, NURF140, SNF2L, SNF2L1, SNF2LB, SNF2LT, SWI, SWI2, hSNF2L
SMARCA2	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2	9	BAF190, BRM, NCBRS, SNF2, SNF2L2, SNF2LA, SWI2, Sth1p, hBRM, hSNF2a
SMARCA4	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4	19	BAF190, BAF190A, BRG1, CSS4, MRD16, RTPS2, SNF2, SNF2L4, SNF2LB, SWI2, hSNF2b
SMARCAD1	SWI/SNF-related, matrix-associated actin-dependent regulator of chromatin, subfamily a, containing DEAD/H box 1	4	ADERM, BASNS, ETL1, HEL1
SMARCB1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1	22	BAF47, CSS3, INI1, MRD15, PPP1R144, RDT, RTPS1, SNF5, SNF5L1, SWNTS1, Sfh1p, Snr1, hSNFS
SMARCC1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 1	3	BAF155, CRACC1, Rsc8, SRG3, SWI3
SMARCD1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 1	12	BAF60A, CRACD1, Rsc6p
SMARCE1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily e, member 1	17	BAF57, CSS5
SMC1A	structural maintenance of chromosomes 1A	X	CDLS2, DXS423E, SB1.8, SMC1, SMC1L1, SMC1alpha, SMCB
SMC1B	structural maintenance of chromosomes 1B	22	SMC1BETA, SMC1L2
SMG1	SMG1, nonsense mediated mRNA decay associated PI3K related kinase	16	61E3.4, ATX, LIP
SMG7	SMG7, nonsense mediated mRNA decay factor	1	C1orf16, EST1C, SGA56M
SMG8	SMG8, nonsense mediated mRNA decay factor	17	C17orf71
SMO	smoothened, frizzled class receptor	7	CRJS, FZD11, GxH, SMO
SMOC1	SPARC related modular calcium binding 1	14	OAS
SMOX	spermine oxidase	20	C20orf16, PAO, PAO-1, PAO1, PAOH, PAOH1, SMO
SMPD1	sphingomyelin phosphodiesterase 1	11	ASM, ASMASE, NPD
SMPD3	sphingomyelin phosphodiesterase 3	16	NSMASE2
SMUG1	single-strand-selective monofunctional uracil-DNA glycosylase 1	12	FDG, HMUDG, UNG3
SMURF1	SMAD specific E3 ubiquitin protein ligase 1	7	
SMURF2	SMAD specific E3 ubiquitin protein ligase 2	17	
SMYD2	SET and MYND domain containing 2	1	HSKM-B, KMT3C, ZMYND14
SMYD3	SET and MYND domain containing 3	1	KMT3E, ZMYND1, ZNFN3A1, bA74P14.1
SMYD5	SMYD family member 5	2	NN8-4AG, RAI15, RRG1, ZMYND23
SNAI1	snail family transcriptional repressor 1	20	SLUGH2, SNA, SNAH, SNAIL, SNAIL1, dJ710H13.1
SNAI1P1	snail family zinc finger 1 pseudogene 1	2	SNAI1L, SNAI1L1, SNAI1P
SNAI2	snail family transcriptional repressor 2	8	SLUG, SLUGH, SLUGH1, SNAIL2, WS2D
SNAP23	synaptosome associated protein 23	15	HsT17016, SNAP-23A, SNAP23B, SNAP23
SNAP47	synaptosome associated protein 47	1	C1orf142, ESFI5812, HEL-S-290, HEL170, SNAP-47, SVAP1
SNCA	synuclein alpha	4	NACP, PARK1, PARK4, PD1
SNCG	synuclein gamma	10	BCSG1, SR
SND1	staphylococcal nuclease and tudor domain containing 1	7	TDRD11, Tudor-SN, p100
